Date,Close,High,Low,Open,Volume
2021-05-04,124.4107056,127.9527928,123.2916402,127.6608601,137564700
2021-05-05,124.654007,126.940781,124.5274993,125.7244071,84000900
2021-05-06,126.249855,126.2595807,123.7100589,124.4496162,78128300
2021-05-07,126.9224548,127.9459325,126.2108752,127.5462955,78973300
2021-05-10,123.6472626,126.2693398,123.6082716,126.1426322,88071200
2021-05-11,122.7310257,123.0819296,119.6702976,120.3818698,126142800
2021-05-12,119.6702957,121.4930846,119.163428,120.2843942,112172300
2021-05-13,121.8147507,122.9649583,121.1226777,121.434598,105861300
2021-05-14,124.232132,124.6610252,122.6725303,123.0624326,81918000
2021-05-17,123.0819244,123.7252643,122.0096988,123.618041,74244600
2021-05-18,121.6977768,123.7837453,121.6295445,123.3646017,63342900
2021-05-19,121.5418091,121.7659978,119.7580114,120.05044,92612000
2021-05-20,124.0956573,124.4953092,121.9414566,122.0681791,76857100
2021-05-21,122.2631378,124.76825,122.0486912,124.5927944,79295400
2021-05-24,123.8909607,124.7097561,122.7602524,122.8284847,63092900
2021-05-25,123.6960144,125.0801677,123.1306565,124.5927843,72009500
2021-05-26,123.6472626,124.1736294,123.228119,123.7544859,56575900
2021-05-27,122.1168976,124.4173123,121.9219502,123.2476132,94625600
2021-05-28,121.4638519,122.6238092,121.4053692,122.399613,71311100
2021-06-01,121.1421661,122.1851504,120.8107541,121.9219706,67637100
2021-06-02,121.9024887,122.0779444,120.9179945,121.1421833,59278900
2021-06-03,120.4208679,121.6977907,120.021216,121.5320847,76229200
2021-06-04,122.7115173,122.9747045,120.7230225,120.9374692,75169300
2021-06-07,122.7212601,123.1306541,121.6782759,122.9844398,71057600
2021-06-08,123.5400696,125.2166517,123.0234522,123.4036049,74403800
2021-06-09,123.9201889,124.5245377,123.3255897,123.9981708,56877900
2021-06-10,122.9259567,124.9534424,122.7602507,123.812977,71186400
2021-06-11,124.1346588,124.2223904,122.9162189,123.3353625,53522400
2021-06-14,127.1856461,127.2441288,123.8617454,124.5928094,96906500
2021-06-15,126.3668442,127.3026126,126.1231562,126.6592727,62746300
2021-06-16,126.8639679,127.5852897,125.2166495,127.0784145,91815000
2021-06-17,128.4625244,129.2033453,126.3765563,126.522778,96721700
2021-06-18,127.1661224,128.1895999,126.9516759,127.4098104,108953300
2021-06-21,128.9596558,129.066879,125.9476765,127.0101523,79663300
2021-06-22,130.5972443,130.6947254,128.2968294,128.7939623,74783600
2021-06-23,130.324295,130.9286512,129.8661606,130.3925348,60214200
2021-06-24,130.0416565,131.2405972,129.5737649,131.0553919,68711000
2021-06-25,129.7492371,130.5095424,129.4568085,130.0904062,70783700
2021-06-28,131.3770447,131.8351792,129.9831568,130.0416395,62111300
2021-06-29,132.8879395,133.0439033,130.9579347,131.3965701,64556100
2021-06-30,133.5020447,133.9406801,132.4395537,132.7319822,63261400
2021-07-01,133.8041992,133.862682,132.3323143,133.1511172,52485800
2021-07-02,136.4262848,136.4652683,134.2720765,134.4182833,78852600
2021-07-06,138.4342499,139.5357093,136.5334869,136.5334869,108181800
2021-07-07,140.9198914,141.2318042,139.0581116,139.9158832,104911600
2021-07-08,139.6234741,140.422763,137.1183545,138.0053823,105575500
2021-07-09,141.4462433,141.9726027,139.0483472,139.1458283,99890800
2021-07-12,140.8516388,142.6256943,140.3642629,142.518471,76299700
2021-07-13,141.9628448,143.7369002,140.0035992,140.3934939,100827100
2021-07-14,145.3842316,145.7936404,143.9513452,144.360754,127050800
2021-07-15,144.7311401,146.212767,143.3762358,145.471961,106820300
2021-07-16,142.6939087,145.9788173,142.1967907,144.711652,93251400
2021-07-19,138.8534088,140.432517,138.0931035,140.1205893,121434600
2021-07-20,142.4599457,143.3859716,139.3505005,139.8378763,96350000
2021-07-21,141.7288971,142.4404766,140.978349,141.8556196,74993500
2021-07-22,143.0936279,144.4582751,142.1286179,142.2553404,77338200
2021-07-23,144.8091125,144.9650764,143.2105203,143.8246187,71447400
2021-07-26,145.228302,146.0470901,143.9708636,144.5264794,72434100
2021-07-27,143.0643311,145.4427279,141.8751326,145.3549889,104818600
2021-07-28,141.3195038,143.2592651,138.9411071,141.1537978,118931200
2021-07-29,141.9628448,142.8498725,140.9296104,141.0368337,56699500
2021-07-30,142.1773071,142.6354417,140.4714914,140.7346785,70440600
2021-08-02,141.8459015,143.2397896,141.5827143,142.6646895,62880000
2021-08-03,143.6394043,144.3022283,141.514438,142.1285363,64786600
2021-08-04,143.2398071,144.0585953,142.5867251,143.5517349,56368300
2021-08-05,143.3470154,144.1073207,142.4794868,143.2690334,46397700
2021-08-06,142.6636353,143.6105622,142.1657724,142.8686463,54126800
2021-08-09,142.6148682,143.2103583,142.0584348,142.7222521,48908700
2021-08-10,142.1365356,144.1963445,141.8436689,142.9565505,69023100
2021-08-11,142.3903351,143.2298783,142.0681832,142.5758178,48493500
2021-08-12,145.3482513,145.5044489,142.3708008,142.7124811,72282600
2021-08-13,145.5532379,145.8851465,144.74298,145.4263256,59375000
2021-08-16,147.5251923,147.5935343,142.9858112,145.0065628,103296000
2021-08-17,146.6173401,148.071887,145.5435005,146.656382,92229700
2021-08-18,142.8784332,147.1347195,142.6734221,146.2366059,86326000
2021-08-19,143.2103424,144.4794214,141.0626783,141.5800696,86960300
2021-08-20,144.6649323,144.9675557,143.2884691,143.9327729,60549600
2021-08-23,146.1487732,146.617351,144.3720594,144.7820668,60131800
2021-08-24,146.0609131,147.271422,145.602092,145.8949587,48606400
2021-08-25,144.8308411,146.7442235,144.2841646,146.2463458,58991300
2021-08-26,144.030365,145.5727823,144.0010798,144.8211095,48597200
2021-08-27,145.0651855,145.2116115,143.3372852,143.9718174,55802400
2021-08-30,149.4776306,149.8388393,145.0749183,145.4556405,90956700
2021-08-31,148.2183075,149.1652346,147.6911445,149.0285654,86453100
2021-09-01,148.8821564,151.2934023,148.716202,149.1945515,80313700
2021-09-02,149.9950409,151.0395954,148.7747753,150.2098088,71115500
2021-09-03,150.6295776,150.9517295,149.4483541,150.1024146,57808700
2021-09-07,152.962738,153.5191714,150.7174463,151.2836514,82278300
2021-09-08,151.4203033,153.3043861,150.3171786,153.2458157,74420200
2021-09-09,150.4050293,152.3964957,150.2878737,151.7912489,57305700
2021-09-10,145.4263306,151.7814665,145.1627491,151.3128889,140893200
2021-09-13,145.9925842,147.8180969,145.2116112,147.0468955,102404300
2021-09-14,144.5965729,147.4764113,143.4153642,146.7735372,109296300
2021-09-15,145.4849091,145.8851597,142.8881809,145.0260881,83281300
2021-09-16,145.2506104,145.4263363,143.7179649,144.908945,68034100
2021-09-17,142.5855865,145.2799424,142.2927198,145.2799424,129868800
